"","ROI1","p_2min1","pvalue","p_ravlt1","p_flanker1","ROI_lvl1","ROI_lvl2"
"16","lh_occipital_lh_lateraloccipital",1,1,NA,0.997333333333333,"lh_lateraloccipital","lh_occipital"
"17","lh_occipital_lh_lingual",1,0.999916666666667,NA,0.996583333333333,"lh_lingual","lh_occipital"
"18","lh_occipital_lh_pericalcarine",1,0.999916666666667,NA,0.993083333333333,"lh_pericalcarine","lh_occipital"
"37","lh_temporal_lh_inferiortemporal",1,NA,NA,0.998833333333333,"lh_inferiortemporal","lh_temporal"
"38","lh_temporal_lh_middletemporal",1,0.998166666666667,NA,0.998666666666667,"lh_middletemporal","lh_temporal"
"40","lh_temporal_lh_superiortemporal",1,0.999666666666667,NA,0.999416666666667,"lh_superiortemporal","lh_temporal"
"57","rh_occipital_rh_cuneus",1,0.998083333333333,0.991666666666667,NA,"rh_cuneus","rh_occipital"
"58","rh_occipital_rh_lateraloccipital",1,0.999916666666667,0.99625,NA,"rh_lateraloccipital","rh_occipital"
"59","rh_occipital_rh_lingual",1,0.999833333333333,0.995166666666667,0.990583333333333,"rh_lingual","rh_occipital"
"60","rh_occipital_rh_pericalcarine",1,0.9965,NA,NA,"rh_pericalcarine","rh_occipital"
"61","rh_occipital_rh_precuneus_parietal",1,0.99475,0.990083333333333,NA,"rh_precuneus_parietal","rh_occipital"
"76","rh_temporal_rh_bankssts",1,0.997416666666667,NA,0.998166666666667,"rh_bankssts","rh_temporal"
"77","rh_temporal_rh_entorhinal",1,0.998166666666667,NA,0.99975,"rh_entorhinal","rh_temporal"
"78","rh_temporal_rh_fusiform",1,0.999,NA,0.99975,"rh_fusiform","rh_temporal"
"79","rh_temporal_rh_inferiortemporal",1,0.998666666666667,NA,0.999,"rh_inferiortemporal","rh_temporal"
"80","rh_temporal_rh_middletemporal",1,NA,NA,0.997583333333333,"rh_middletemporal","rh_temporal"
"83","rh_temporal_rh_temporalpole",1,1,0.996166666666667,1,"rh_temporalpole","rh_temporal"
"34","lh_temporal_lh_bankssts",0.999916666666667,0.9965,NA,0.99875,"lh_bankssts","lh_temporal"
"41","lh_temporal_lh_temporalpole",0.999916666666667,1,0.993666666666667,0.999833333333333,"lh_temporalpole","lh_temporal"
"82","rh_temporal_rh_superiortemporal",0.999916666666667,0.999666666666667,NA,0.999,"rh_superiortemporal","rh_temporal"
"84","rh_temporal_rh_transversetemporal",0.999916666666667,1,0.990833333333333,0.998083333333333,"rh_transversetemporal","rh_temporal"
"19","lh_occipital_lh_precuneus_parietal",0.999833333333333,0.99825,NA,NA,"lh_precuneus_parietal","lh_occipital"
"22","lh_parietal_lh_postcentral",0.999833333333333,1,NA,NA,"lh_postcentral","lh_parietal"
"35","lh_temporal_lh_entorhinal",0.999833333333333,NA,NA,0.998916666666667,"lh_entorhinal","lh_temporal"
"36","lh_temporal_lh_fusiform",0.999833333333333,0.99925,NA,0.9975,"lh_fusiform","lh_temporal"
"42","lh_temporal_lh_transversetemporal",0.999833333333333,1,NA,0.999916666666667,"lh_transversetemporal","lh_temporal"
"62","rh_parietal_rh_inferiorparietal",0.99975,NA,NA,NA,"rh_inferiorparietal","rh_parietal"
"67","rh_parietal_rh_supramarginal",0.99975,0.996083333333333,NA,NA,"rh_supramarginal","rh_parietal"
"63","rh_parietal_rh_isthmuscingulate",0.999666666666667,NA,NA,NA,"rh_isthmuscingulate","rh_parietal"
"20","lh_parietal_lh_inferiorparietal",0.999583333333333,NA,NA,NA,"lh_inferiorparietal","lh_parietal"
"81","rh_temporal_rh_parahippocampal",0.9995,0.999833333333333,0.995416666666667,0.999416666666667,"rh_parahippocampal","rh_temporal"
"66","rh_parietal_rh_superiorparietal",0.999416666666667,NA,NA,NA,"rh_superiorparietal","rh_parietal"
"15","lh_occipital_lh_cuneus",0.999333333333333,0.997666666666667,NA,NA,"lh_cuneus","lh_occipital"
"25","lh_parietal_lh_supramarginal",0.999333333333333,0.998166666666667,NA,NA,"lh_supramarginal","lh_parietal"
"65","rh_parietal_rh_posteriorcingulate",0.999166666666667,NA,NA,NA,"rh_posteriorcingulate","rh_parietal"
"23","lh_parietal_lh_posteriorcingulate",0.998833333333333,NA,NA,NA,"lh_posteriorcingulate","lh_parietal"
"24","lh_parietal_lh_superiorparietal",0.99875,NA,NA,NA,"lh_superiorparietal","lh_parietal"
"39","lh_temporal_lh_parahippocampal",0.99875,1,0.990666666666667,0.99975,"lh_parahippocampal","lh_temporal"
"21","lh_parietal_lh_isthmuscingulate",0.997583333333333,NA,NA,NA,"lh_isthmuscingulate","lh_parietal"
"27","lh_subcortical_lh_Amygdala",0.997083333333333,NA,NA,NA,"lh_Amygdala","lh_subcortical"
"4","lh_frontal_lh_insula",0.996,NA,NA,NA,"lh_insula","lh_frontal"
"64","rh_parietal_rh_postcentral",0.99575,NA,NA,NA,"rh_postcentral","rh_parietal"
"11","lh_frontal_lh_precentral",0.994416666666667,NA,NA,NA,"lh_precentral","lh_frontal"
"46","rh_frontal_rh_insula",0.994083333333333,NA,NA,NA,"rh_insula","rh_frontal"
"29","lh_subcortical_lh_Hippocampus",0.993666666666667,NA,NA,NA,"lh_Hippocampus","lh_subcortical"
"71","rh_subcortical_rh_Hippocampus",0.990583333333333,NA,NA,NA,"rh_Hippocampus","rh_subcortical"
"5","lh_frontal_lh_lateralorbitofrontal",NA,NA,NA,NA,"lh_lateralorbitofrontal","lh_frontal"
"33","lh_subcortical_lh_VentralDC",NA,NA,NA,NA,"lh_VentralDC","lh_subcortical"
"2","lh_frontal_lh_caudalmiddlefrontal",NA,NA,NA,NA,"lh_caudalmiddlefrontal","lh_frontal"
"50","rh_frontal_rh_parsopercularis",NA,NA,NA,NA,"rh_parsopercularis","rh_frontal"
"53","rh_frontal_rh_precentral",NA,NA,NA,NA,"rh_precentral","rh_frontal"
"75","rh_subcortical_rh_VentralDC",NA,NA,NA,NA,"rh_VentralDC","rh_subcortical"
"74","rh_subcortical_rh_Thalamus.Proper",NA,NA,NA,NA,"rh_Thalamus.Proper","rh_subcortical"
"7","lh_frontal_lh_paracentral",NA,NA,NA,NA,"lh_paracentral","lh_frontal"
"44","rh_frontal_rh_caudalmiddlefrontal",NA,NA,NA,NA,"rh_caudalmiddlefrontal","rh_frontal"
"69","rh_subcortical_rh_Amygdala",NA,NA,NA,NA,"rh_Amygdala","rh_subcortical"
"52","rh_frontal_rh_parstriangularis",NA,NA,NA,NA,"rh_parstriangularis","rh_frontal"
"30","lh_subcortical_lh_Pallidum",NA,NA,NA,NA,"lh_Pallidum","lh_subcortical"
"13","lh_frontal_lh_rostralmiddlefrontal",NA,NA,NA,NA,"lh_rostralmiddlefrontal","lh_frontal"
"8","lh_frontal_lh_parsopercularis",NA,NA,NA,NA,"lh_parsopercularis","lh_frontal"
"72","rh_subcortical_rh_Pallidum",NA,NA,NA,NA,"rh_Pallidum","rh_subcortical"
"49","rh_frontal_rh_paracentral",NA,NA,NA,NA,"rh_paracentral","rh_frontal"
"9","lh_frontal_lh_parsorbitalis",NA,0.996583333333333,NA,NA,"lh_parsorbitalis","lh_frontal"
"10","lh_frontal_lh_parstriangularis",NA,NA,NA,NA,"lh_parstriangularis","lh_frontal"
"47","rh_frontal_rh_lateralorbitofrontal",NA,NA,NA,NA,"rh_lateralorbitofrontal","rh_frontal"
"1","lh_frontal_lh_caudalanteriorcingulate",NA,NA,NA,NA,"lh_caudalanteriorcingulate","lh_frontal"
"55","rh_frontal_rh_rostralmiddlefrontal",NA,NA,NA,NA,"rh_rostralmiddlefrontal","rh_frontal"
"32","lh_subcortical_lh_Thalamus.Proper",NA,NA,NA,NA,"lh_Thalamus.Proper","lh_subcortical"
"56","rh_frontal_rh_superiorfrontal",NA,NA,NA,NA,"rh_superiorfrontal","rh_frontal"
"45","rh_frontal_rh_frontalpole",NA,NA,NA,NA,"rh_frontalpole","rh_frontal"
"14","lh_frontal_lh_superiorfrontal",NA,NA,NA,NA,"lh_superiorfrontal","lh_frontal"
"31","lh_subcortical_lh_Putamen",NA,NA,NA,NA,"lh_Putamen","lh_subcortical"
"68","rh_subcortical_rh_Accumbens.area",NA,NA,NA,NA,"rh_Accumbens.area","rh_subcortical"
"3","lh_frontal_lh_frontalpole",NA,NA,NA,NA,"lh_frontalpole","lh_frontal"
"26","lh_subcortical_lh_Accumbens.area",NA,NA,NA,NA,"lh_Accumbens.area","lh_subcortical"
"51","rh_frontal_rh_parsorbitalis",NA,NA,NA,NA,"rh_parsorbitalis","rh_frontal"
"12","lh_frontal_lh_rostralanteriorcingulate",NA,NA,NA,NA,"lh_rostralanteriorcingulate","lh_frontal"
"54","rh_frontal_rh_rostralanteriorcingulate",NA,NA,NA,NA,"rh_rostralanteriorcingulate","rh_frontal"
"43","rh_frontal_rh_caudalanteriorcingulate",NA,NA,NA,NA,"rh_caudalanteriorcingulate","rh_frontal"
"6","lh_frontal_lh_medialorbitofrontal",NA,NA,NA,NA,"lh_medialorbitofrontal","lh_frontal"
"73","rh_subcortical_rh_Putamen",NA,NA,NA,NA,"rh_Putamen","rh_subcortical"
"48","rh_frontal_rh_medialorbitofrontal",NA,NA,NA,NA,"rh_medialorbitofrontal","rh_frontal"
"28","lh_subcortical_lh_Caudate",NA,NA,NA,NA,"lh_Caudate","lh_subcortical"
"70","rh_subcortical_rh_Caudate",NA,NA,NA,NA,"rh_Caudate","rh_subcortical"
